filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err
spec-0387-51791-0168.fits,0387-51789-01,387,51791,168,,18.802656766596378,0.007363840966169557,18.76478692674994,0.006191575804345567,18.631311938919048,0.0031049617665957177,18.607444607035212,0.005131698921341676,18.612399289926422,0.0021129654398698663,18.69060008797451,0.00500449472681772,18.605808486946238,0.009106323162066908,18.922101156963812,0.025152148241568938,18.706782658668168,0.00209017218853632,18.822840676756776,0.012113245855356738,19.079887711388146,0.02670279938310163,18.649540597538497,0.011492185027045649
spec-0650-52143-0497.fits,0650-52142-01,650,52143,497,,19.274976640134945,0.01041718081244148,19.358317107491125,0.00936612101861971,20.590748413877883,0.013619623573677898,20.288969833353555,0.016858478812977223,20.07886917340965,0.005880853835441215,19.70446636911405,0.01019782364047517,20.73475471943241,0.04148724204926214,19.20251851729362,0.03797138886424459,19.51396372218006,0.0036959157039015717,19.255478056203067,0.017663451671890346,19.34742783974591,0.036567656606042234,20.779643366762052,0.052285968008485235
spec-2824-54452-0272.fits,2824-54414-01,2824,54452,272,,18.679231732018785,0.0037535497565435857,18.656585403658774,0.003134098196241978,19.293159174330263,0.0024531903190395383,19.226415039978,0.0045107240408660985,18.99961053536608,0.001449196604761738,18.735264427615952,0.0027951243326370732,19.430490807635742,0.007553624885563419,18.834234665318213,0.015038523735710232,18.693687978648846,0.0011344784379438094,18.784276883373373,0.006423348559483573,18.96621759514371,0.012157849472578915,19.488474527824344,0.009635041719922787
spec-2822-54389-0284.fits,2822-54379-01,2822,54389,284,,20.40855933926695,0.01184558682849648,20.3886550528102,0.009713204116962748,20.641968209206645,0.007930272879092553,20.562415103622605,0.011858159306586428,20.49108226550066,0.004643401109323313,20.433645366356977,0.00887595732273544,20.66573793971815,0.023580159383521974,20.686637347156143,0.06139509074280477,20.41567151524155,0.0035888146253205784,20.473598759868146,0.020585027437019985,20.773970586187154,0.04319273161507323,20.684243029867254,0.029674217356862334
spec-2630-54327-0265.fits,2630-54327-01,2630,54327,265,,20.82597939575394,0.02058738193722919,20.76444036194531,0.015438234081070337,20.381286890641682,0.006338998177002502,20.487952134713247,0.01111079499105565,20.40354312236321,0.004195330794473609,20.540531325462176,0.010875095337514375,20.22282141907433,0.0167210083407563,21.17203495539227,0.1098395035343635,20.63790452480267,0.004968146225813343,20.955512879936343,0.0373514849664109,21.271915860031378,0.08416740035373045,20.343298021804976,0.021577201961223914
spec-0650-52143-0217.fits,0650-52142-01,650,52143,217,,18.833381775466812,,18.830057687960327,,18.95597410342824,,18.9934153393147,,18.8346730035719,,18.7726762565922,,18.98898090494071,,18.86104332147125,,18.793515376225592,,18.940479791440275,,18.997360672864126,,19.025310439390843,
spec-0685-52203-0490.fits,0685-52202-02,685,52203,490,,18.902282249909398,0.006643819153045319,18.875443153817223,0.0058306701782019086,19.315849113189806,0.0048730596205269015,19.379638820487592,0.00816102072917965,19.07030770734898,0.0027112016346864188,18.800223938008592,0.0049577265630974246,19.393030312849326,0.015304660568858942,19.16545263037367,0.026571798053745592,18.829414446382593,0.002016849426252234,19.06434549401383,0.011756339280011843,19.30415381142989,0.026209791931786252,19.418400733295634,0.019545822816861652
spec-0685-52203-0187.fits,0685-52202-02,685,52203,187,,17.97270100773543,0.004243407530964522,17.907003788742053,0.0035729541086261295,18.44907914297223,0.002680804313920491,18.426017650598546,0.004918804489460551,18.10769442967915,0.001517638580085919,17.792465229216596,0.0030047079449124696,18.61552814100805,0.008716777454730264,18.287215899289187,0.014752488123760532,17.846246887664186,0.0012502180419882727,18.198911253522688,0.00759355774640447,18.417630309276042,0.014798499711929309,18.690702134941027,0.011767140109352155
spec-2624-54380-0261.fits,2624-54332-01,2624,54380,261,,16.752865340576086,0.001841574255545397,16.739017873623773,0.0016629061174170785,17.297543325226663,0.0008829315627637204,17.26805162299197,0.0019327609048106161,17.045884627024655,0.0006182075765732756,16.819390726384974,0.0015602527182797734,17.40615794496683,0.002464116933005856,16.943375922666327,0.0064397644269649995,16.77338654826236,0.0006060035564094963,16.871855885394886,0.002982033493947984,17.076351559210302,0.005558723320275638,17.473107050891635,0.0030812485768953054
spec-0387-51791-0166.fits,0387-51789-01,387,51791,166,,18.06583303898082,0.004494547693199503,18.105818673522585,0.004020125715236373,18.784429889624413,0.0034347132423594193,18.72416465253489,0.005421388426523266,18.521828138918174,0.0019414882907470338,18.238130292875233,0.003791543735413585,18.874050884220587,0.01127721191750052,18.173861160414596,0.014310519402726167,18.167969667084073,0.0014822189498802454,18.146306295949465,0.007509280722559566,18.320072827001617,0.015071313340112209,18.934788319769034,0.014449945395797154
