SDSS,Plate,MJD,Fiber,RA,Dec,umag,gmag,rmag,imag,zmag,Teff,logg,Mass,Type,spec_file,filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err
000309.46+272333.0,2824,54452,184,0.789401,27.392499,19.89,19.99,20.31,20.64,20.98,26114.0,7.7,0.502,DA,results_convolution_2/spectra/spec-2824-54452-0184.fits,spec-2824-54452-0184.fits,2824-54414-01,2824.0,54452.0,184.0,,19.774170322967542,,19.847419112959575,,20.87504268974312,,20.69320073578374,,20.417687848731624,,20.053317677622097,,21.334161319848512,,19.77535563120771,,19.93000067849318,,19.86509475682991,,19.918314640167218,,21.3760338146837,
000356.93-050332.7,2630,54327,173,0.987227,-5.059088,18.52,18.2,18.15,17.5,16.88,17678.0,7.23,,DAM,results_convolution_2/spectra/spec-2630-54327-0173.fits,spec-2630-54327-0173.fits,2630-54327-01,2630.0,54327.0,173.0,,18.260142667924548,,18.248396348121894,,17.45989405938949,,18.161966889378284,,18.20259549583458,,18.20936933998039,,16.958019625094686,,18.440107486540235,,18.20233252797689,,18.384049929023057,,18.57848412676045,,17.094350266910233,
000410.42-034008.6,2624,54380,458,1.043433,-3.669055,17.46,16.93,16.76,16.72,16.74,6887.0,7.71,0.459,DA,results_convolution_2/spectra/spec-2624-54380-0458.fits,spec-2624-54380-0458.fits,2624-54332-01,2624.0,54380.0,458.0,,17.095053548647506,,17.033604734531487,,16.72715574908407,,16.811271137173726,,16.754430010569884,,16.850067670137115,,16.688659932971767,,17.258699927175435,,16.92427340767346,,17.151114463027263,,17.40168337063553,,16.749365166206566,
000417.88-034211.4,2630,54327,447,1.074506,-3.703176,20.07,19.54,19.37,19.35,19.4,10084.0,9.26,,DC,results_convolution_2/spectra/spec-2630-54327-0447.fits,spec-2630-54327-0447.fits,2630-54327-01,2630.0,54327.0,447.0,,19.632426622028184,0.007598615213783,19.600170498323315,0.0064527505657155,19.40382491552221,0.0029595592216355,19.42105219774185,0.0053334072524411,19.410759082911618,0.0020803677399773,19.462947388293536,0.0050629957375843,19.390419384992065,0.0082031367143212,19.78221781858337,0.0277486444509538,19.519910096971135,0.0021337889064212,19.67054061032604,0.0128640673615133,19.92704422388237,0.0287919402026904,19.42272803991495,0.0101336666082907
000442.80+265920.7,2824,54452,67,1.178349,26.98907,20.55,20.43,20.74,20.93,20.82,22662.0,7.55,0.461,DA,results_convolution_2/spectra/spec-2824-54452-0067.fits,spec-2824-54452-0067.fits,2824-54414-01,2824.0,54452.0,67.0,,20.50365524389625,0.0142410383198883,20.465051145754053,0.0115877862576476,21.25781867744869,0.0091514852604414,21.05913577060563,0.0170476980166241,20.780076415890385,0.0053930886081873,20.516655473927564,0.0099345639796705,21.5461712325832,0.023064625222144,20.65983338277396,0.0546625081652887,20.47987702496008,0.0041004464402799,20.636939604585287,0.0248670411614193,20.80008411297936,0.0490019043183642,21.5453503994081,0.030457669546244
000446.29-100051.2,650,52143,80,1.1928565,-10.01422,22.31,21.31,20.83,20.44,19.15,6307.0,8.44,,DA:,results_convolution_2/spectra/spec-0650-52143-0080.fits,spec-0650-52143-0080.fits,0650-52142-01,650.0,52143.0,80.0,,23.165030467501744,,23.02785353462935,,21.3511309442357,,21.704786397435264,,21.62263057885452,,22.164470101538505,,21.012765304375144,,,,22.390144912688804,,23.273318531546472,,,,21.2327116832406,
000453.94+265420.4,2824,54452,78,1.224746,26.905673,19.94,19.6,19.44,18.85,18.35,7258.0,5.03,,DAM,results_convolution_2/spectra/spec-2824-54452-0078.fits,spec-2824-54452-0078.fits,2824-54414-01,2824.0,54452.0,78.0,,19.856461706952334,,19.82174744549321,,18.819203660123243,,19.393826834144228,,19.481576781486176,,19.664666562404683,,18.38356896979769,,20.05216141571531,,19.697409682003148,,20.034424425810407,,20.18195475521176,,18.49323090411016,
000504.92+243409.7,2822,54389,180,1.270495,24.569356,19.51,18.9,18.49,17.5,16.77,7597.0,5.0,,DAM,results_convolution_2/spectra/spec-2822-54389-0180.fits,spec-2822-54389-0180.fits,2822-54379-01,2822.0,54389.0,180.0,,19.126814065913813,0.004511233550869,19.09394051381455,0.0037188749923662,17.395338168342214,0.0006712607822154,18.242798851651564,0.0022326655482143,18.457065876629198,0.0009250952006019,18.786201342366844,0.0026931118220402,16.8033086430544,0.0010555178268956,19.38011406739316,0.0185586298862201,18.87933357753352,0.0011475117712769,19.294913347343105,0.0081291639419769,19.50654182499193,0.0159539673891251,16.938520929063266,0.0014974162306185
000522.02-093230.6,651,52141,382,1.3417332,-9.541846,20.31,20.27,20.45,20.88,21.08,19288.0,7.99,0.616,DA,results_convolution_2/spectra/spec-0651-52141-0382.fits,spec-0651-52141-0382.fits,0651-52139-01,651.0,52141.0,382.0,,20.148659568999584,,20.108106842384224,,20.80874002639208,,20.713021433332507,,20.448902305319727,,20.220092123840736,,21.05480591827432,,20.309375224466518,,20.14270395097271,,19.8831683614824,,20.408273036446083,,20.939741967210573,
000531.10-054343.2,2624,54380,82,1.379578,-5.728679,17.28,16.73,16.6,15.81,15.1,16417.0,7.33,,DAM,results_convolution_2/spectra/spec-2624-54380-0082.fits,spec-2624-54380-0082.fits,2624-54332-01,2624.0,54380.0,82.0,,16.96847074173747,,16.912422950982823,,15.677298335018657,,16.483376659733572,,16.575574220690847,,16.70116612651622,,15.127966450656809,,17.32189548267933,,16.767485452382267,,17.169073098076048,,17.443592986682127,,15.264105600113382,
